TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,170400.863137,44.306073,49.737276,49.790530,15.562237,22.751907,99.860239,99.820283,46.501359,44.574455,44.306045,49.737222,49.790504,0.011340,960978.49,20.71,5257138305031291,86892582489,2458152965805996,55915356098,36f476c2b2c2b300fb93315c6713f7e0,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,61079.704296,41.943344,47.386410,47.161709,13.759445,19.750879,99.774555,98.818127,41.894633,42.420775,41.943318,47.386293,47.161683,1.106898,711417.53,18.85,3828305366216218,86803732322,1841659254286991,52084809105,10b68a6b7952b0fc40f357af3cf99669,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,30220.211788,40.020836,45.010521,44.853069,12.849223,17.874362,93.899351,91.595124,38.461988,40.605946,40.020817,45.010260,44.853017,1.295247,495720.76,16.68,2646953675820618,81597516598,1287616105964712,46226362936,49d9ffd956b199c0ec6bedd202fd21ab,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,14909.106893,37.406686,42.327215,42.329753,11.704693,15.548122,80.876100,78.097660,34.534325,38.356565,37.406645,42.326629,42.329314,1.274740,257829.91,15.48,1394202080461326,76003526242,671856174720611,43066891317,c99cf3b2283c338e3c8cb5fed6ce4fbe,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7005.058941,34.243074,39.436574,39.577366,10.380487,12.906962,61.789902,58.762358,30.491029,35.700806,34.242911,39.435500,39.576041,1.150251,124370.09,12.73,652372809925249,62800123699,322617062325955,35933752579,54a3fba4fd99fc3a6b1e6dc54c9a3fd0,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3117.970030,30.923903,36.562919,36.617078,9.116780,10.334748,40.221822,37.590599,26.728067,32.943051,30.923727,36.561154,36.615544,0.783571,56230.58,10.90,287786151252330,58249006588,149998687538931,30857409644,4f4f95b3bffb8ee022d3f03dbb05276a,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,67785.718282,43.668644,49.519302,52.895587,14.067710,21.370684,99.061793,97.708889,45.297441,44.400594,43.668303,49.519057,52.895245,0.020335,640292.94,13.12,3568283045684479,47837216278,1645129289075648,35558465660,4f3a05ae09d7cd837aa4672dd9776fe6,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,21424.607393,42.701544,48.482147,51.665214,13.434505,19.814273,94.350901,92.596164,42.782217,43.452806,42.699199,48.481777,51.664772,0.248035,307633.38,13.58,1592327512946234,56932153702,786075956045328,38133865136,f025402a5db654d5d3fc33539e9ec8fb,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,10514.717283,41.740904,47.279136,49.898790,13.065098,18.504344,85.913135,83.734617,40.559467,42.425103,41.734972,47.278723,49.898152,0.314289,173555.16,11.30,894705863472855,54570408744,442572830225374,31754673969,fdca74fc5249e0c771101ff8101a791d,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,5367.320679,40.200591,45.410639,47.475769,12.630769,16.686284,71.170202,68.706104,37.774159,40.830838,40.191422,45.409819,47.475108,0.300896,78375.77,11.54,396062435233201,60783985665,200959263342942,32608138830,3665a789d703c59b0e3fb75f2226c427,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,2746.229770,37.950777,42.890373,44.543822,12.168116,14.494638,50.389968,48.107398,34.672063,38.543748,37.941238,42.888986,44.542037,0.243079,32756.60,10.32,161314735186641,59450878870,84883772899930,29262168593,b37d04b664407f9ceaff308c0ea4ca12,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,1393.054945,35.042440,40.091388,41.262348,11.656002,12.147635,27.464790,25.730197,31.383092,35.671208,35.034652,40.087267,41.253287,0.219177,17881.33,9.11,85737518395310,56767458852,48431848948567,25918091947,19ff910e543bccc01f8958c1f7af73cc,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,153400.119880,45.259890,50.807823,51.077973,16.952933,24.247494,99.814941,99.766665,47.475008,46.002515,45.259809,50.807551,51.077631,0.005563,866911.30,17.70,4761778915430244,69809888681,2238222026970482,48014954100,365a23bfc88c656f9c03daa0946e2c60,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,75487.456543,43.035426,47.913125,48.181690,15.367524,21.230526,99.685396,99.621234,42.421395,43.537418,43.035350,47.912627,48.180990,0.007822,588390.79,15.73,4062596759800670,75758182679,1985208238882846,56917006420,ebd26c05b0d29f75be5a1fef4ada8167,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,38653.634366,40.279911,45.042822,45.207741,13.590838,17.870681,97.854510,95.505830,37.672986,40.826445,40.279535,45.041975,45.206005,0.010558,501805.74,14.94,2668801104475091,62220541709,1296215397828348,41592867847,cae90172aa775c838c15436ca5c1c737,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,19029.930070,36.954763,42.144092,42.194892,11.538594,14.288794,78.799571,76.492262,33.224009,37.782394,36.953862,42.142296,42.190126,0.018121,267291.41,13.74,1447308147817901,58984191417,691956748847188,38399364323,6e9888f1c736f5e6b167cc3cfa971101,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,8679.656344,33.420267,39.181827,39.179513,9.535278,10.905708,53.638096,51.837716,29.175574,34.560290,33.419132,39.180049,39.175908,0.054227,125284.57,12.94,646371636273580,61474057990,323754364048671,36476186260,9a8e18c3092212f3e679b8110e735cfe,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3645.762238,30.040197,36.409540,36.256195,8.036935,8.080731,31.234182,30.335540,25.672952,31.520847,30.039696,36.406796,36.251536,0.108180,48063.07,11.38,247813005935321,57224217081,128048316657499,32211242921,6664d01f00f15875279d08d7ff4c7bfd,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,85,77134.977023,47.909398,51.925279,51.561068,20.005634,25.838254,99.878304,99.841211,48.448086,49.716670,47.902040,51.912443,51.512836,0.885463,670319.60,19.27,3616115434649746,83048593515,1733614259632808,53086514428,935252fc2d9c0b38a6c6eee9162b03bd,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,110,35674.197802,44.108804,48.646208,48.150157,17.375592,21.819114,99.789309,99.739183,43.331931,46.513135,44.095042,48.634296,48.098516,1.110080,644643.48,18.19,3420279412666717,82157379786,1669848751948126,50228058814,b716a488b40f3faa43ac46e9aaa00b09,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,135,16391.312687,40.932552,45.366369,44.809104,15.593581,19.015607,98.637421,97.381554,39.264167,43.609127,40.916153,45.356439,44.756587,1.612882,448175.36,16.96,2405731900644623,87076949779,1166309457572346,47164218130,bbba2ff4b78c6efa0f35b0883dea376f,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,160,8011.260739,37.968353,41.905186,41.332342,14.019443,16.463344,87.974673,85.462604,35.163639,40.772841,37.949731,41.894052,41.270151,1.832666,218109.04,14.30,1523604569350351,81665530747,748752751726133,52070454071,f8fde16bbd80c7dcb902583e6b8ba8ab,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,185,3856.823177,34.717859,38.369112,37.627450,12.425196,13.683727,69.677179,66.948401,30.945124,37.663198,34.698302,38.353976,37.549924,1.752660,123138.84,11.60,863705502676806,65418839548,425352574860171,42638457135,ea83d2cf19fa622b95a1c237be2b3ece,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,210,1727.584416,31.295427,34.849165,33.826522,10.984749,10.937926,47.154569,45.025481,26.935149,34.388432,31.275538,34.829357,33.729137,1.199850,79488.54,11.43,443831944632403,68805042963,213379885047633,32970660338,5446ccf2e6106416a6d03943ceca3f16,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,85,165014.816000,49.202978,46.202503,50.134212,21.233189,25.057181,99.273844,97.530484,47.627823,47.199723,49.202310,46.201960,50.132883,0.221517,667392.71,21.79,3427328515517719,93118321420,1713541950457886,59514472634,4e8b6e26d4f47fb76374acfaf85d126e,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,110,75738.784000,45.125364,42.839851,47.494247,17.740270,20.644473,93.965483,91.634369,41.975866,43.855381,45.124599,42.838856,47.493101,0.498188,675055.78,18.93,3443392859331974,81590575268,1732213125973554,52382382775,0721858b21019e3de8c7993c239c84dc,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,135,32825.232000,41.147790,40.381678,45.412438,14.594845,16.476377,81.020889,78.598307,37.082062,41.107512,41.147078,40.380184,45.411258,0.603301,425354.07,14.89,2190809414057703,62047287525,1089071267130037,41306099377,a6b01219f39b2560c7ce64adab5faf74,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,160,13393.648000,37.350160,38.383185,43.433115,11.993184,12.582923,56.612047,54.928235,32.857492,38.515251,37.349520,38.381849,43.431874,0.947535,216322.39,15.13,1119464207167354,64909629453,555186702887297,42190517399,f7d9bac3a1db16e58935cfea2b103414,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,185,4451.152000,33.851676,36.368019,41.416930,10.099082,9.242953,30.352262,29.673950,29.238883,35.931237,33.850919,36.366841,41.416006,1.043705,84882.35,11.40,426798508962182,59196669183,218937904833116,32212583778,ed58398d449463b39348406d061ee8c7,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,210,922.048000,31.054839,34.779334,39.637254,9.019446,6.946778,8.137245,7.977072,26.509137,33.935552,31.054154,34.777774,39.634574,1.835590,23680.64,9.74,114653031390534,58598587456,63664531954251,28278248980,3c6eae9e928892f1a68acc9c568f3324,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,85,49291.243416,46.820810,49.295430,47.026256,18.669628,25.674168,99.846791,99.807607,47.961632,46.789354,46.814956,49.287784,47.021796,0.000310,481167.80,17.81,2601693477893726,80421734235,1248094247764532,49194694120,f976b645149cbedbf07ed0bba5b3749b,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,110,22665.439872,44.894476,47.283277,45.264450,17.556552,23.544977,99.756522,99.116411,44.599623,45.158397,44.881269,47.271583,45.253646,0.002417,437596.80,13.51,2477564257336792,64550824764,1225252321731533,40100204256,c78c2724683144d30395e6c534a1fd31,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,135,11237.423328,42.362636,45.015574,43.628457,16.172172,20.954502,94.255951,92.138378,40.389021,43.368374,42.342834,45.004536,43.616687,0.005407,339531.08,13.17,1851498174896657,64789765164,885468043007221,36983996069,c560715d373b166b3e4c4dcb10d83f6c,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,160,5436.669888,39.168124,42.268418,41.586097,14.396902,17.923755,80.807079,78.356616,35.804388,41.094505,39.145639,42.258171,41.574911,0.012026,174754.22,12.86,950324123022446,66978523242,454815132113101,36049172022,41fc04320224bfffbdb77a63fee87c24,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,185,2479.973544,35.704063,39.338998,39.352139,12.524503,14.778596,59.477797,57.072312,31.515343,38.421503,35.683745,39.331486,39.342065,0.028337,83669.04,10.64,432825024903779,57042723182,217252506784621,30282730550,8634ea5fb5631fe34277a4ba132348f1,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,210,1038.328632,32.214957,36.276603,37.074805,10.813659,11.715081,33.681312,31.619412,27.679406,35.434775,32.198206,36.268728,37.062835,0.051382,36292.08,9.63,179903455104812,53830369855,97584976843244,27439073189,ebf63f01cc602206425e10afddfe98c3,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,185522.829171,42.561891,50.328212,49.352402,13.439918,21.623818,99.775000,99.735016,46.149279,44.231537,42.561767,50.328010,49.347916,0.001959,928033.26,13.79,6528107558458195,70735068528,2591652498111649,38557978804,90671999a8ef9f69c5a5db09c3f5f525,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,38679.528472,40.353723,49.341732,47.501534,11.442061,18.134968,97.845221,96.145762,41.090550,42.443733,40.353491,49.341523,47.496606,0.311005,594975.98,15.33,3200712920904506,68016712740,1531119056527803,42698357401,a0344686fed3bddea5d832ee34bc319b,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,18450.957043,39.341113,47.916007,45.555673,10.994127,16.674961,90.034715,87.927792,38.450154,41.269668,39.340986,47.915769,45.552515,0.470483,318474.60,14.32,1676548451868997,65853015071,817361088018252,40058719450,495d450904ad903718e8dc94f9471522,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,9299.436563,37.778707,45.853999,43.002695,10.479878,14.880594,75.740735,73.389251,35.419554,39.604965,37.778580,45.852759,43.000758,0.529851,157867.41,14.82,818723807791277,76662699003,405097149052219,41232059004,7113d81811de0f467535f9404ba192dc,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,4627.132867,35.508007,43.166066,40.088002,9.864532,12.771907,55.816839,53.532114,32.122373,37.360633,35.507820,43.163926,40.087398,0.483894,71949.90,11.11,373593908612286,60798224597,185595787927372,31224838044,f1423cbf96218058dfc4f23573ef5d84,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,2250.005994,32.679038,40.099665,36.996525,9.210701,10.578175,34.643685,32.840005,28.801135,34.615825,32.678768,40.095548,36.995319,0.304928,27906.01,9.00,172486025421084,61622866328,77940558721817,25143632918,4fd114c4f9f9a8cbf9ba3f4c4f2d53c1,
AI,aom,av2,0,A1,TimeLapse_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,213993.222777,45.379634,50.166117,51.898269,18.240163,25.827397,97.026939,95.615548,49.058816,45.802825,45.368573,50.164877,51.869491,0.005367,913410.09,20.06,5069252814790215,87746659599,2369896975768594,54494312172,7942a24eb6884d9ab0cb17f7156a0199,
AI,aom,av2,0,A1,TimeLapse_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,98499.740260,42.103623,47.283158,49.354820,15.434379,21.594890,93.523897,91.603057,42.919282,42.954597,42.087956,47.281823,49.330042,0.007818,897417.70,17.21,5282186854563671,78149209561,2514681305261493,50891662211,a7a0f793a070e6e2c5a5cbc6d688710f,
AI,aom,av2,0,A1,TimeLapse_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,44616.167832,38.765968,44.786204,46.851148,12.698926,17.445430,85.225312,82.734820,37.143747,40.139723,38.749236,44.785107,46.833186,0.011424,750538.55,14.92,4088389304958970,62742865460,1955860023373844,41321942144,f98f969551695340f0245bb07b101eff,
AI,aom,av2,0,A1,TimeLapse_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,18703.680320,35.428579,42.409677,44.320529,10.342552,13.638152,68.239050,65.603291,32.301666,37.309071,35.408188,42.408548,44.312391,0.014871,405384.89,13.49,2260235806328115,60708120214,1064804986640348,37639830422,63c8f49ec52aad913f701d11ae31e7c2,
AI,aom,av2,0,A1,TimeLapse_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7452.627373,32.323222,39.896843,41.775075,8.655331,10.510554,46.279430,43.854584,28.477132,34.433109,32.298300,39.896098,41.772850,0.012067,135085.25,12.50,710561119771099,61466245237,349054862165632,35502512104,45ec891f54aaa9558e897c5d15efb144,
AI,aom,av2,0,A1,TimeLapse_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,2881.598402,29.455079,37.031793,39.095747,7.506484,8.148897,27.574143,25.531473,25.317240,31.576662,29.428693,37.029340,39.087970,0.008857,47717.65,9.06,297353521025489,58167738682,166930490185700,33405935753,a3227399bf3f023f89a8946b277533ba,
AI,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,85,137122.189810,43.393100,44.938845,45.192808,16.770948,24.919031,99.527429,98.175827,48.759245,41.101789,43.379157,44.935758,45.188880,0.000115,409618.07,7.53,2978276577036420,37474308788,1393977659355938,26587883456,27a24b5cb7e1752f996946d1063ed110,
AI,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,63418.693307,38.866427,42.460990,43.124845,12.551263,19.418854,94.995201,93.094775,41.024583,37.869961,38.827475,42.457155,43.120872,0.000921,635716.59,6.60,3581664176572379,28380697650,1657965231562801,17960386013,c71b503b2f292735ac2c5ad278f44699,
AI,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,26358.441558,34.943472,40.405227,41.274363,9.181822,14.743362,83.603068,81.496473,34.387939,35.004027,34.900678,40.402689,41.271199,0.005291,560276.82,5.63,3189714121796660,24541158269,1467586707154732,15487068892,9fae4a39a8d09786d3e1a3a1b9a05604,
AI,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,10061.330669,31.651808,38.561151,39.602355,6.771034,10.919881,61.395465,59.517103,29.203971,32.479344,31.620795,38.559267,39.600260,0.014008,215950.65,4.32,1341821846499995,19614456684,609216264505041,12756777774,bc9616d3a3b88c159d05ee1de4417997,
AI,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,3527.336663,28.826999,36.831873,37.906557,5.215747,7.814608,33.372803,32.373573,25.295229,30.152238,28.809801,36.830512,37.903702,0.049946,69476.94,3.41,377103071842713,14901080821,179361380137293,9582358381,b2ba9402c463c2471d208c1d9caf0ee5,
AI,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,1187.884116,26.432273,35.188045,36.047936,4.350297,5.595071,13.157055,12.938489,22.468799,28.068880,26.423586,35.185984,36.043852,0.101939,22048.93,3.17,116611718401763,17037810714,58319307194682,9118467538,9578d58fed1e1a19889c445769f94d95,
AI,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,85,178806.297702,43.918301,45.837760,46.779592,20.586171,29.021853,99.866587,99.817681,51.219870,43.407794,43.918286,45.837714,46.779561,0.172605,414814.39,9.77,2447027887453684,43016315163,1094950513128172,26311425097,79924bb6e9c222e518a198f8ebf115fc,
AI,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,97640.631369,38.872851,43.111065,44.043445,15.826471,23.460774,99.314359,97.588259,43.683368,39.833424,38.872822,43.111004,44.043378,0.182414,477425.65,5.97,3622761365789624,32397197190,1636225640086445,21165619495,0962ca28448ffe196e938c01ceb82e96,
AI,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,49558.649351,34.277210,40.842303,41.512561,11.544973,18.175828,91.395277,89.363373,36.067263,36.386496,34.277185,40.842198,41.512444,0.194158,812853.22,6.24,4805363072811209,27933097272,2138251741140475,17054165748,bf3826563bf68d11c3aa66702400d549,
AI,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,22773.946054,30.078231,38.083337,38.453044,7.946441,13.380062,73.619950,71.658260,29.303093,32.779306,30.078188,38.083096,38.452718,0.197863,459026.63,4.59,2679777615105006,20956109958,1203983328605893,12691392530,353a31acc9b1170b106906d4481e4747,
AI,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,8994.317682,26.331321,34.981560,34.836611,5.334155,9.374280,45.994042,44.470102,23.768807,29.330561,26.331272,34.980807,34.835784,0.169085,191698.44,3.80,1056911037665685,16742458399,498768854667719,10544927420,1eec8a2c1e0edebd2094cf56bd88461c,
AI,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,2946.445554,23.147766,31.717015,31.523239,3.647487,6.233542,17.789868,17.143330,19.457218,26.195083,23.147641,31.716173,31.521144,0.112609,60662.24,3.13,325504303461539,15707606758,159150861673291,8771190083,73eb7bcb8b6946934546c36d5a38d9b3,
AI,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,85,202065.986667,42.298214,42.543454,43.103447,16.400995,25.161372,99.873764,99.823954,49.119710,39.778916,42.298028,42.543342,43.103324,0.000275,415101.84,11.93,2465858168189199,52566053742,1091685751107020,31474822234,bb2aef6c9fb00ce3a79222998f329b19,
AI,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,102129.933333,37.502290,39.227175,39.939867,12.385864,20.084830,99.773049,99.619066,42.143956,36.368895,37.501613,39.226983,39.939685,0.001015,605639.30,9.26,3574901447361175,41672934519,1594707464972340,24951529358,6d45d936f86ce7beaf7c6f30e677d94f,
AI,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,48829.360000,33.280499,36.624552,37.193703,9.434606,15.988802,93.683955,91.384735,35.539405,33.457890,33.279545,36.624370,37.193426,0.002320,685225.99,5.55,4918331891546449,31575056762,1913392901143259,15471918430,14ad561e7e3195647e19fd989cc18b7c,
AI,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,21317.426667,29.378183,34.126630,34.470649,6.973074,12.094646,75.316183,73.068318,29.350236,30.637155,29.377274,34.126461,34.470259,0.008025,517796.47,5.65,3006780578286539,26329021673,1358895841018995,15535154418,6b7a8e0706513823a8ac9afc7c3b06cc,
AI,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,185,7992.213333,25.800257,31.851770,32.012241,5.082519,9.019174,47.584767,46.026106,24.068820,27.913219,25.799539,31.851483,32.011881,0.043676,212637.90,4.35,1220513202111937,21812987175,553950320578360,12078015209,93be90bc72d9dbc561186b57b5ff0f18,
