TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,18698.144932,42.398909,48.726414,48.730037,13.975178,20.339794,99.974870,99.916243,43.030639,43.266299,42.347852,48.701124,48.704233,0.949451,,,,,,,bbef275cef307f6239117e5172ebfee1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,6626.312764,41.573745,47.544940,47.468593,13.574910,19.569443,99.634603,97.784643,41.500338,42.399181,41.558854,47.532766,47.454712,1.181964,,,,,,,5090bae62cd567751ac7c35d523ca066,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,2748.024898,40.302340,45.978915,45.809845,13.047371,18.450339,95.187997,92.780491,39.168184,41.218028,40.287914,45.966135,45.797331,1.236379,,,,,,,cd8abe4df095bc0cca0d6a0240f2306c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1320.628910,38.277972,43.975278,43.716367,12.215143,16.686019,85.938395,83.201898,35.926258,39.555254,38.257199,43.962788,43.705768,1.267856,,,,,,,8930d7fb487e07887304cbe9a36225d9,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,637.083532,35.576577,41.544790,41.349178,11.117021,14.425912,71.203989,68.152619,32.267836,37.402984,35.550552,41.531979,41.333414,1.316835,,,,,,,986f8d1cc360eda6e88eda5cc0d00e72,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,294.473526,32.413764,38.811171,38.787917,9.877806,11.913835,51.599668,48.622341,28.518344,34.766047,32.386579,38.798631,38.777026,1.261357,,,,,,,c9d61a4cf8c1663cf34d21740de8ce32,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,9344.386075,41.590640,47.088492,47.208809,13.642786,19.873624,99.923230,98.330623,42.124052,42.442367,41.576045,47.078266,47.195709,1.199956,,,,,,,285c16cd662d20fbe1cbde6baa735451,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,3853.164681,40.715100,46.069447,46.039954,13.243703,19.008389,97.271097,94.896647,40.300148,41.600915,40.704462,46.060039,46.028109,1.232402,,,,,,,bba4a8786d2d227cf0a1f7b17339ac92,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,1797.309152,39.138966,44.555120,44.416379,12.577953,17.553568,90.512542,87.778606,37.443793,40.289421,39.122616,44.543889,44.404193,1.305440,,,,,,,d69775b991f1db6ca997ec39fa27851c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,863.505725,36.798534,42.607978,42.406538,11.615907,15.513364,78.484265,75.416170,33.940001,38.456025,36.775620,42.595891,42.393953,1.377264,,,,,,,b678fcf0b335bc4b079dd1de9af34d52,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,405.637439,33.888879,40.258021,40.105475,10.441556,13.093098,60.935023,57.791112,30.246266,36.207783,33.862720,40.247393,40.092168,1.364545,,,,,,,7c9ac697e91d6c9d53b6de34da6b49b1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,186.404365,30.745335,37.842956,37.734113,9.279805,10.676485,40.786172,37.940785,26.709334,33.660561,30.718939,37.833094,37.727386,1.176494,,,,,,,d6074c878f9cd9d89a6634062fe02dbd,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6257.801276,40.677991,45.922681,45.802428,13.275658,19.395804,98.034918,95.683511,41.135925,41.742756,40.669811,45.916334,45.792512,1.261087,,,,,,,6da717fd276123424c5860fa59af5d97,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,2812.431876,39.735700,44.983796,44.747327,12.840844,18.401235,93.919439,91.289801,39.061919,40.862266,39.725351,44.976876,44.736115,1.331494,,,,,,,2f9a45683eccc4d90b4619db05758e1f,
