TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8477.737647,42.188232,44.790136,44.688417,15.892289,23.391702,96.864343,95.051381,45.688340,40.670135,41.991985,44.746582,44.642991,0.000008,419445.93,12.34,2462776867477228,59304119858,1088511260940218,33926528685,56662b9bbd96016fc1f7e0cfc1b5f3ec,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3063.855529,39.631056,43.398558,43.664276,13.689721,20.417481,92.659668,90.545140,41.220681,38.912656,39.362280,43.361539,43.631524,0.000020,256830.27,7.20,1938078296813806,49512539482,717260343891918,20134145995,ced10797aca9fd28f739934ece414fb3,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1117.426573,36.623158,41.725273,42.396262,11.037965,16.797105,83.711692,81.490493,36.239605,36.718822,36.323050,41.690649,42.363998,0.002361,226473.37,6.07,1715344177664735,43899347794,632472110385897,16930067315,846b648236f733aef23727754073e6ae,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,399.790978,33.607171,39.964839,40.852075,8.526545,13.157459,67.923874,65.795488,31.597088,34.361399,33.372380,39.937697,40.828261,0.012984,135811.90,4.86,1056934626302768,35738199740,379279992413956,13607798314,18a1e04d090f5bbd893cc31ca5448af7,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,143.446707,30.813948,38.228423,39.367812,6.606772,9.978089,45.618105,44.025640,27.664095,32.086923,30.666156,38.208566,39.350376,0.047248,84103.01,4.48,537622715702818,27106111072,220211963313746,12891442554,fe0c33cd1f7a7759b8096308f24bbac8,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,54.012449,28.249351,36.649075,37.884459,5.320125,7.312530,22.595334,21.815837,24.454682,29.901469,28.174553,36.634701,37.876529,0.085443,33457.96,3.46,280516391272559,24643888205,93441959792950,9704196632,379bfcecb33e7ebb8ca7576f62eba4e9,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,23839.924998,41.743164,44.961247,46.734761,19.416117,27.333384,99.976141,99.792364,48.016371,42.275684,41.623519,44.916256,46.695060,0.127726,398360.10,15.30,2865538878098178,81575096835,1112514257539956,42747854066,5622c38c4ae8a1b3cebb8944d8d0a779,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11093.318989,37.851867,43.186032,44.659304,16.102029,23.268700,97.480552,95.638590,41.505145,39.609687,37.732204,43.158733,44.630043,0.155550,562656.82,11.46,3885156234961796,69637516129,1571390311318329,32014648856,5aaa82b36ea4efbf79cae67c5d6ee43f,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4920.204718,33.670635,41.298955,42.324595,12.360996,18.710196,87.806649,85.727111,34.627384,36.501872,33.548885,41.277012,42.297262,0.173851,572369.64,11.06,4129839184616792,55047752057,1943516366187573,40208076844,450208d7a7b75ab9a2a54035d3245c48,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2014.008146,29.716812,39.099838,39.904291,8.878765,14.242514,70.113132,68.155868,28.573074,33.220260,29.601546,39.073327,39.871765,0.210526,424366.17,8.66,2459878177894826,43057400149,1100457542463666,24466743040,9b200b86f8f77088d0ebbbb21789e769,
