TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18686.861446,42.397510,48.727441,48.730439,13.974238,20.338303,99.974870,99.913693,43.028553,43.266628,42.346394,48.702186,48.704581,0.971280,,,,,,,b3885b5835f18ebffec6f8dd743a9ccf,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6628.153385,41.573640,47.551075,47.475924,13.574550,19.569106,99.634024,97.779357,41.500669,42.402142,41.558775,47.539015,47.462571,1.189391,,,,,,,8c7008b88a3c01a2d14b3cdeb3094e7a,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2748.024898,40.302340,45.978915,45.809845,13.047371,18.450339,95.187997,92.780491,39.168184,41.218028,40.287914,45.966135,45.797331,1.236379,,,,,,,e9274cd55f1c3e7f4424f89c6f1903a0,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1320.628910,38.277972,43.975278,43.716367,12.215143,16.686019,85.938395,83.201898,35.926258,39.555254,38.257199,43.962788,43.705768,1.267856,,,,,,,5bd10a50580ad07fdffaa1f423042ddf,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,637.083532,35.576577,41.544790,41.349178,11.117021,14.425912,71.203989,68.152619,32.267836,37.402984,35.550552,41.531979,41.333414,1.316835,,,,,,,604f38a52a96afeef95502ee64cb91da,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,294.473526,32.413764,38.811171,38.787917,9.877806,11.913835,51.599668,48.622341,28.518344,34.766047,32.386579,38.798631,38.777026,1.261357,,,,,,,c9efa4ebb7219c4602b83471ca1ab72a,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,17149.024514,42.792031,48.817432,52.279403,13.526505,20.071464,95.547829,93.751189,43.159160,43.705820,42.751950,48.803058,52.269407,0.316997,,,,,,,d2d351fd1dab84a00f2f6510303780ae,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,5346.181203,42.130736,48.160819,51.342348,13.216866,19.201818,91.142417,89.016411,41.607253,43.054661,42.121450,48.156030,51.334332,0.370124,,,,,,,6736592877da23ddb216af03ffcb2491,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2271.805733,41.079463,47.162608,49.921457,12.880922,17.946414,82.940772,80.560236,39.454238,42.068453,41.058596,47.155741,49.907411,0.382870,,,,,,,1f8cd3a6f02f116d90c4a33a63fbe303,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1056.173365,39.457742,45.752296,47.976921,12.457361,16.257370,69.881678,67.404281,36.844747,40.628501,39.418285,45.741326,47.956593,0.413666,,,,,,,7644fa8ae8450a331b45757cd9eefacb,
