TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5590225,48.600737,49.500725,50.883898,24.995518,34.440522,96.988825,96.328703,54.215622,47.759820,48.600737,49.500725,50.883898,0.000001,34195.22,2.32,198189314927116,10060433485,90031549580127,6040230234,75c9f3dbfdb45e8ae1dfd1d9448d1875,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3690846,42.675071,45.906325,48.340230,18.958471,28.423596,96.228866,95.227134,49.596428,43.319692,42.675071,45.906325,48.340230,0.000006,41727.23,2.20,242767292098112,9709550177,109750298653536,5867226435,a23ffec03a0eaa92e62cab183bef72c6,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1979392,36.665051,42.762950,45.924244,13.016765,22.104939,94.223746,92.737601,43.048745,38.723182,36.665051,42.762950,45.924244,0.000307,50182.69,1.44,369175797954008,8098549461,140137981348582,4067160076,f822f80cde28bdcaadaf7ac3f9158afb,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,861533,32.052600,40.124609,43.635902,9.520101,17.491391,88.066247,86.148769,36.197874,34.905028,32.052600,40.124609,43.635902,0.001613,103477.13,1.38,600242110700144,6315235847,270998503959908,3771230989,bf2379a4a03629e003167d04a6ee56d5,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,394183,28.657639,37.541305,41.393713,7.507283,14.081355,73.277370,71.126358,29.979081,31.881765,28.657639,37.541305,41.393713,0.008297,71057.87,1.27,406701340844499,5309982355,185665678101001,3597418290,f94242fa2115b1a5f4b2d9e7cef289dd,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,172766,25.293854,35.034193,39.273406,5.479370,10.497827,49.218717,47.338656,24.234355,28.806463,25.293854,35.034193,39.273406,0.017989,34698.15,1.01,242996569871384,4559049780,96905034011453,2892935115,ab537d79194f1ef18ddee3ac4d7a5c75,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,3830752,48.722374,50.599357,50.965624,22.275520,31.408735,96.590759,95.818997,52.646807,48.069829,48.722374,50.599357,50.965624,0.000002,50290.33,1.81,284911165464467,8023279257,131269775182194,4748190491,c3acdeb79d9ef7ada130fcecbe2141ff,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2137580,42.900486,48.393899,48.742096,16.645788,25.420587,95.275296,94.186668,47.819624,44.184953,42.900486,48.393899,48.742096,0.001254,58867.57,1.62,341822921730208,6905832039,153741310746434,4309598547,b32408aeff43f3196fcd617a955659a9,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,883376,37.746861,46.190141,46.743276,11.866938,19.664120,92.205001,90.551489,41.391763,40.460994,37.746861,46.190141,46.743276,0.252000,60440.19,1.17,352162141593129,4907442348,158060742669178,3153692352,29d292c317391134893afa12cead812a,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,319228,34.216208,44.194156,44.815777,8.764166,15.209807,84.008831,81.913072,34.983945,37.606908,34.216208,44.194156,44.815777,1.147144,62578.58,0.79,432058992938454,4504229471,174787469252936,2197752734,beec76c7e9746fa3b2afffdd62d348d4,
