cfg,class,video,tag,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v02.0.0,-4.499,-10.0304,-10.6712,-5.2622,-4.4903,-4.4467,-4.8065,-5.2557,-4.5985,-9.4947,-4.4992,-10.0301,-10.6739,-5.4092
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v03.0.0,-6.9794,-12.2086,-14.3397,-7.8216,-5.8215,-6.5965,-6.0577,-6.7941,-6.8761,-12.8096,-6.9797,-12.2076,-14.3418,-7.9713
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v04.0.0,-10.6439,-20.5961,-22.8679,-12.1189,-8.6978,-10.0655,-10.738,-10.7503,-10.537,-17.7431,-10.6441,-20.5955,-22.8685,-12.3695
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v05.0.0,-12.2606,-24.8046,-34.175,-14.625,-9.8749,-11.372,-13.0727,-12.9304,-12.4434,-20.5651,-12.2607,-24.8005,-34.1735,-14.9622
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v06.0.0,-13.9072,-25.6319,-36.1913,-16.2509,-11.647,-13.1116,-14.619,-14.5867,-14.0941,-22.4437,-13.9074,-25.6196,-36.1901,-16.5825
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v07.0.0,-14.9131,-27.1163,-37.7511,-17.3544,-12.3556,-13.9981,-15.8189,-15.7805,-15.1063,-23.5738,-14.9133,-27.1167,-37.7501,-17.7008
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v08.0.0,-15.5783,-28.2012,-38.5349,-18.0601,-12.8405,-14.5204,-16.2366,-16.2985,-15.7544,-24.264,-15.5784,-28.2022,-38.5331,-18.4063
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v09.0.0,-18.1133,-28.1969,-38.6088,-20.2069,-15.5493,-16.9002,-19.6099,-19.3964,-18.0704,-24.6799,-18.1138,-28.1959,-38.6083,-20.5236
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v10.0.0,-18.496,-27.1135,-37.5922,-20.3862,-15.2195,-17.0181,-22.6599,-21.442,-18.1086,-23.7683,-18.4961,-27.1093,-37.5889,-20.6911
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v11.0.0,-18.43,-27.7253,-38.019,-20.4,-15.2159,-16.965,-21.8496,-20.9132,-18.1174,-24.791,-18.4304,-27.724,-38.0158,-20.7055
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v12.0.0,-18.5126,-27.7644,-37.7761,-20.4551,-15.2752,-17.0463,-22.0551,-21.1362,-18.166,-24.8519,-18.5127,-27.763,-37.7744,-20.7597
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v13.0.0,-18.4479,-27.7396,-37.7153,-20.3948,-19.7787,-16.9758,-22.1616,-21.1455,-18.0804,-24.6627,-18.4481,-27.738,-37.7117,-20.7002
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v14.0.0,-18.4659,-27.7507,-37.7283,-20.412,-19.7955,-16.993,-22.1827,-21.166,-18.0966,-24.6759,-18.4661,-27.7491,-37.7247,-20.7174
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v15.0.0,-18.4659,-27.7507,-37.7283,-20.412,-19.7955,-16.993,-22.1827,-21.166,-18.0966,-24.6759,-18.4661,-27.7491,-37.7247,-20.7174
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v02.0.0,-7.5783,-8.8768,-9.8266,-7.9137,-5.2255,-8.2541,-9.3648,-9.0611,-7.5973,-8.2392,-7.6085,-8.8561,-9.8158,-7.8929
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v03.0.0,-12.1636,-14.0474,-16.3007,-12.7262,-8.4213,-12.8789,-11.245,-11.5208,-12.0357,-14.3684,-12.1873,-14.0362,-16.2882,-12.6842
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v04.0.0,-13.2637,-17.0636,-19.2442,-14.1356,-9.0818,-14.0618,-12.503,-12.6628,-13.3321,-16.0482,-13.2909,-17.0449,-19.2045,-14.0068
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v05.0.0,-15.7272,-21.4152,-20.6748,-16.6533,-10.9744,-16.1602,-14.491,-14.685,-15.5395,-19.0712,-15.7455,-21.4158,-20.6495,-16.5367
